utc_s (s),utc_ms (ms)_x,file_path,filename,utc_ms (ms)_y,accel_x (counts),accel_y (counts),accel_z (counts),calibrated_accel_x (g),calibrated_accel_y (g),calibrated_accel_z (g),calibrated_accel_x (m/s^2),calibrated_accel_y (m/s^2),calibrated_accel_z (m/s^2),position_lat (semicircles),position_long (semicircles),enhanced_altitude (m),enhanced_speed (m/s),heading (degrees),gyro_x (counts),gyro_y (counts),gyro_z (counts),calibrated_gyro_x (deg/s),calibrated_gyro_y (deg/s),calibrated_gyro_z (deg/s),mag_x (counts),mag_y (counts),mag_z (counts),velocity (m/s)1,velocity (m/s)2,velocity (m/s)3,tsm1_original,tsm1_k2,tsm1_k3,tsm1_k4
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,693,27636,33561,32722,-0.3876953,0.034179688,2.5200195,-3.801992113745,0.3351882373252,24.712949229675,430511171.0,-1036451436,-90.0,2.248,58.7,33521,33223,32981,-27.560976,-15.182927,-46.341465,32720,32480,31339,1.92,1.16,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,683,27840,33811,34437,-0.5097656,-0.80322266,2.4204102,-4.9990928212400005,-7.876923498688999,23.73611568783,430511150.0,-1036451470,-90.0,2.248,58.9,33476,33127,33032,-21.707317,-18.292683,-43.59756,32721,32475,31341,1.92,1.16,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,582,33974,32262,31701,0.24658203,0.53271484,-0.57470703,2.4181436644995,5.224147985686,-5.6359506957495,430510949.0,-1036451816,-89.60000000000002,2.099,55.43,32391,32257,33085,31.341463,-21.524391,22.560976,32716,32431,31352,1.72,1.19,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,552,25936,32679,31686,0.04296875,0.54003906,3.3500977,0.4213794921875,5.2959740477490005,32.853235609705,430510893.0,-1036451913,-89.60000000000002,2.079,54.46,32249,32520,33195,15.304878,-28.231707,31.219513,32718,32428,31348,1.69,1.2,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,743,30922,33556,35247,-0.3852539,-1.1987305,0.91552734,-3.778050158435,-11.755530457824998,8.978256188810999,430511396.0,-1036451140,-90.0,2.403,58.05,32759,33033,32601,-15.97561,7.987805000000001,0.12195122,32717,32454,31343,2.03,1.27,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,512,31326,32476,33924,0.14208984,-0.5527344,0.7182616999999999,1.393425329436,-5.420472803759999,7.043741100305001,430510818.0,-1036452038,-89.39999999999998,2.07,53.38,32028,32450,32842,19.573172,-6.707317,44.69512,32722,32440,31343,1.66,1.23,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,946,31603,33112,30425,-0.16845703,1.1557617,0.5830078000000001,-1.6519991332495,11.334150475305,5.717353441869999,430511852.0,-1036450158,-90.60000000000002,2.432,65.43,32424,32798,32944,-1.6463414,-12.926829,20.54878,32735,32455,31324,2.21,1.01,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,876,32017,32133,31371,0.3095703,0.69384766,0.38085938,3.035847582495,6.804321154938999,3.734954638877,430511729.0,-1036450482,-90.39999999999998,2.552,64.16,32217,33070,32677,-18.231707,3.3536584,33.17073,32730,32441,31330,2.29,1.11,-0.27,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,199,29205,32456,32358,0.15185547,0.21191406,1.7539062,1.4891934448754998,2.078167016499,17.19994423623,430509774.0,-1036453234,-88.60000000000002,1.959,72.52,31944,32830,32201,-3.597561,32.378048,49.817074,32722,32499,31329,1.86,0.58,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,159,30302,33270,33043,-0.24560547,-0.122558594,1.2182617,-2.4085668823755,-1.2018892358501,11.947066100305,430509710.0,-1036453361,-88.60000000000002,1.959,74.46,32464,32740,32082,1.8902439,39.634148,18.109756,32713,32483,31337,1.88,0.52,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,67,30184,33374,33676,-0.29638672,-0.43164062,1.2758789,-2.906560827688,-4.232948486122998,12.512097814685,430509563.0,-1036453652,-88.19999999999997,1.813,76.82,33619,32660,32533,6.768292999999999,12.134147,-52.317074,32707,32493,31336,1.76,0.41,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,7,30554,33424,33483,-0.32080078,-0.33740234,1.0952148000000002,-3.145980969187,-3.308786657561,10.740388218419998,430509500.0,-1036453826,-88.19999999999997,1.801,75.72,33237,32520,32765,15.304878,-2.012195,-29.024391,32711,32496,31336,1.74,0.44,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,219,30114,32487,32657,0.13671875,0.06591797,1.3100586,1.3407529296874998,0.6464344605005,12.84728616969,430509886.0,-1036453119,-88.60000000000002,1.957,70.67,31669,32961,32232,-11.585366,30.487804,66.585365,32715,32470,31341,1.84,0.64,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,229,30436,32676,32859,0.044433594,-0.032714844,1.152832,0.4357447046001,-0.3208230249125999,11.3054199328,430509940.0,-1036453062,-88.60000000000002,1.96,69.81,31530,32950,32189,-10.914634,33.109756,75.060974,32716,32461,31342,1.83,0.67,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,442,30741,33451,32383,-0.33398438,0.19970703,1.0039062,-3.2752679201270003,1.9584569457495,9.84495673623,430510683.0,-1036452229,-89.19999999999997,2.091,54.8,32144,32784,32686,-0.79268295,2.804878,37.621952,32721,32434,31339,1.7,1.2,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,412,29331,33082,33861,-0.1538086,-0.52197266,1.6923828,-1.50834710719,-5.118803186188999,16.59660578562,430510606.0,-1036452323,-89.19999999999997,2.026,56.38,32205,32986,32875,-13.109756,-8.719512,33.902440000000006,32724,32451,31338,1.68,1.12,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,402,29502,33218,33239,-0.22021484,-0.21826172,1.6088867,-2.159569860686,-2.140416296438,15.777788756555,430510551.0,-1036452375,-89.19999999999997,2.012,56.93,32245,32890,32801,-7.256098,-4.207317,31.463415,32726,32464,31335,1.68,1.09,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,351,31070,32995,33334,-0.111328125,-0.26464844,0.8432617,-1.0917559570312498,-2.595314624126,8.269572350305001,430510249.0,-1036452648,-89.0,1.956,62.68,32151,32800,32657,-1.7682927,4.5731707,37.19512,32726,32464,31333,1.73,0.89,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,320,30607,32917,32731,-0.07324219,0.029785156,1.0693358999999998,-0.7182605225634999,0.2920926000874,10.486602903735,430510097.0,-1036452800,-89.0,1.93,66.4,32240,32990,32721,-13.353659,0.6707316999999999,31.768293,32722,32459,31340,1.76,0.77,-0.26,3.0,1.0,2.0,3.0
964868685,704,2020-07-28/964868685s704ms.jpg,964868685s704ms.jpg,260,31003,33298,33439,-0.25927734,-0.31591797,0.87597656,-2.542642126311,-3.0980969605004995,8.590395532123999,430509985.0,-1036452974,-88.80000000000003,1.958,68.76,31669,32885,32412,-6.9512196,19.512196,66.585365,32729,32489,31331,1.82,0.7,-0.26,3.0,1.0,2.0,3.0
964868643,729,2020-07-28/964868643s729ms.jpg,964868643s729ms.jpg,611,31924,33055,33743,-0.140625,-0.46435547,0.42626953,-1.37906015625,-4.5537715698755,4.1802760863745,430439106.0,-1036520305,-60.600000000000016,4.397,348.34,32721,32695,32614,4.634146,7.1951220000000005,2.4390244,32709,32487,31345,-0.88,4.3,-0.9,1.0,0.0,0.0,1.0
