,device_id,collect_time,url,picture_id,temperature,humidity,illuminance,soil_temperature,soil_humidity,pressure,wind_speed,photosynthetic,sun_exposure_time,COz,soil_ph,weather_id,label_name,label
0,xiangguanD3,14/5/2021 04,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD3-2021-05-14-04-00-27.jpeg,34.0,13.66,51.78,76.73,8.42,8.02,981.09,2.48,7.92,0.1,659.34,6.8,45288.0,出苗,0
1,xiangguanD3,14/5/2021 04,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD3-2021-05-14-04-00-27.jpeg,34.0,13.76,56.13,226.02,8.32,8.02,980.99,3.37,28.71,0.1,660.33,6.8,45292.0,出苗,0
2,xiangguanD4,14/5/2021 04,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD4-2021-05-14-04-00-32.jpeg,35.0,13.7,52.0,240.8,5.5,26.1,75.0,1.85,6.0,0.1,158.0,6.82,45289.0,出苗,0
3,xiangguanD4,14/5/2021 04,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD4-2021-05-14-04-00-32.jpeg,35.0,13.9,55.8,670.8,5.5,26.0,15.3,2.37,18.0,0.1,157.0,6.82,45293.0,出苗,0
4,xiangguanD3,14/5/2021 05,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD3-2021-05-14-05-00-18.jpeg,38.0,13.76,59.9,428.97,8.22,8.02,980.99,2.13,57.42,0.1,659.34,6.8,45296.0,出苗,0
5,xiangguanD3,14/5/2021 05,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD3-2021-05-14-05-00-18.jpeg,38.0,14.65,62.87,683.1,8.12,8.02,981.09,3.08,97.02,0.1,652.41,6.8,45300.0,出苗,0
6,xiangguanD4,14/5/2021 05,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD4-2021-05-14-05-00-21.jpeg,39.0,14.1,61.0,1386.7,5.5,26.0,15.3,1.03,45.0,0.1,159.0,6.82,45297.0,出苗,0
7,xiangguanD4,14/5/2021 05,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD4-2021-05-14-05-00-21.jpeg,39.0,14.7,61.4,1845.0,5.5,26.0,15.2,1.85,61.0,0.1,155.0,6.82,45301.0,出苗,0
8,xiangguanD3,14/5/2021 06,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD3-2021-05-14-06-00-20.jpeg,42.0,15.44,66.63,1235.03,8.12,8.02,980.99,1.68,172.26,0.1,643.5,6.8,45304.0,出苗,0
9,xiangguanD3,14/5/2021 06,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD3-2021-05-14-06-00-20.jpeg,42.0,16.53,67.42,1486.68,8.02,8.02,980.79,3.51,200.97,0.1,641.52,6.8,45308.0,出苗,0
10,xiangguanD4,14/5/2021 06,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD4-2021-05-14-06-00-24.jpeg,43.0,16.1,65.1,3125.8,5.5,26.0,15.1,2.29,101.0,0.1,146.0,6.82,45305.0,出苗,0
11,xiangguanD4,14/5/2021 06,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD4-2021-05-14-06-00-24.jpeg,43.0,17.6,64.4,4689.2,5.4,26.0,14.9,1.77,154.0,0.1,139.0,6.82,45309.0,出苗,0
12,xiangguanD3,14/5/2021 07,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD3-2021-05-14-07-00-23.jpeg,46.0,17.92,65.04,2121.08,7.92,8.02,980.4,3.08,293.04,0.1,630.63,6.8,45312.0,出苗,0
13,xiangguanD3,14/5/2021 07,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD3-2021-05-14-07-00-23.jpeg,46.0,19.21,62.27,4549.05,7.92,8.02,980.3,3.37,657.36,0.2,618.75,6.8,45316.0,出苗,0
14,xiangguanD4,14/5/2021 07,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD4-2021-05-14-07-00-26.jpeg,47.0,19.3,60.2,5307.5,5.4,25.9,14.8,2.0,185.0,0.1,132.0,6.82,45313.0,出苗,0
15,xiangguanD4,14/5/2021 07,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD4-2021-05-14-07-00-26.jpeg,47.0,20.3,57.1,7221.7,5.4,25.8,14.7,2.22,253.0,0.1,125.0,6.82,45317.0,出苗,0
16,xiangguanD3,14/5/2021 08,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD3-2021-05-14-08-00-20.jpeg,50.0,20.49,59.8,4819.62,7.82,8.12,979.9,4.11,742.5,0.2,620.73,6.8,45320.0,出苗,0
17,xiangguanD3,14/5/2021 08,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD3-2021-05-14-08-00-20.jpeg,50.0,21.19,58.11,4835.36,7.82,8.12,979.61,3.73,743.49,0.2,610.83,6.8,45324.0,出苗,0
18,xiangguanD4,14/5/2021 08,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD4-2021-05-14-08-00-24.jpeg,51.0,23.5,50.4,10560.8,5.4,25.7,14.4,3.33,432.0,0.1,114.0,6.82,45321.0,出苗,0
19,xiangguanD4,14/5/2021 08,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD4-2021-05-14-08-00-24.jpeg,51.0,25.2,45.9,13443.3,5.4,25.6,14.2,3.92,594.0,0.1,103.0,6.82,45325.0,出苗,0
20,xiangguanD3,14/5/2021 09,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD3-2021-05-14-09-00-15.jpeg,54.0,22.57,48.81,5530.83,7.82,8.12,979.41,7.11,880.11,0.2,591.03,6.8,45328.0,出苗,0
21,xiangguanD3,14/5/2021 09,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD3-2021-05-14-09-00-15.jpeg,54.0,23.36,44.75,5515.98,7.82,8.12,979.01,3.51,902.88,0.2,580.14,6.8,45332.0,出苗,0
22,xiangguanD4,14/5/2021 09,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD4-2021-05-14-09-00-18.jpeg,55.0,24.2,44.9,12881.7,5.4,25.6,14.0,3.85,600.0,0.1,96.0,6.81,45329.0,出苗,0
23,xiangguanD4,14/5/2021 09,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD4-2021-05-14-09-00-18.jpeg,55.0,24.1,46.6,7504.2,5.3,25.5,14.1,3.77,629.0,0.1,98.0,6.81,45333.0,出苗,0
24,xiangguanD3,14/5/2021 10,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD3-2021-05-14-10-00-15.jpeg,58.0,24.26,44.85,5292.34,7.92,8.12,978.81,4.18,894.96,0.2,572.22,6.8,45336.0,出苗,0
25,xiangguanD3,14/5/2021 10,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD3-2021-05-14-10-00-15.jpeg,58.0,23.66,47.82,2741.51,7.92,8.12,978.62,5.35,897.93,0.2,573.21,6.8,45340.0,出苗,0
26,xiangguanD4,14/5/2021 10,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD4-2021-05-14-10-00-19.jpeg,59.0,24.6,42.2,6242.5,5.3,25.7,13.9,2.0,660.0,0.1,91.0,6.81,45337.0,出苗,0
27,xiangguanD4,14/5/2021 10,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD4-2021-05-14-10-00-19.jpeg,59.0,25.3,45.3,6614.2,5.3,25.7,13.8,2.51,552.0,0.2,83.0,6.8,45341.0,出苗,0
28,xiangguanD3,14/5/2021 11,https://daqing-haikang-image.oss-cn-hangzhou.aliyuncs.com/xiangguanD3-2021-05-14-11-00-16.jpeg,62.0,24.26,47.12,2877.63,8.02,8.22,978.22,6.09,822.69,0.2,573.21,6.8,45344.0,出苗,0
